time,genf_Scheduled Generation [MW] (D) - BZN|FR,ntc_Net Position (MW),total_Day-ahead Total Load Forecast [MW] - BZN|FR,total_Actual Total Load [MW] - BZN|FR,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],y_Day-ahead Price [EUR/MWh]
2015-01-01 00:00:00,76550.0,,72250.0,72390.0,,,,,,,,,,,,
2015-01-01 01:00:00,75458.0,,70250.0,70929.0,,,,,,,,,,,,
2015-01-01 02:00:00,73688.0,,69750.0,69773.0,,,,,,,,,,,,
2015-01-01 03:00:00,72017.0,,66300.0,66417.0,,,,,,,,,,,,
2015-01-01 04:00:00,68956.0,,63250.0,64182.0,,,,,,,,,,,,
2015-01-01 05:00:00,67755.0,,61500.0,63859.0,,,,,,,,,,,,
2015-01-01 06:00:00,67510.0,,60850.0,63921.0,,,,,,,,,,,,
2015-01-01 07:00:00,67286.0,,60450.0,64117.0,,,,,,,,,,,,
2015-01-01 08:00:00,67137.0,,60150.0,63861.0,,,,,,,,,,,,
2015-01-01 09:00:00,68193.0,,59950.0,64277.0,,,,,,,,,,,,
2015-01-01 10:00:00,70594.0,,62000.0,65100.0,,,,,,,,,,,,
2015-01-01 11:00:00,72411.0,,64100.0,65875.0,,,,,,,,,,,,
2015-01-01 12:00:00,74452.0,,66450.0,67460.0,,,,,,,,,,,,
2015-01-01 13:00:00,72915.0,,67250.0,65706.0,,,,,,,,,,,,
2015-01-01 14:00:00,70773.0,,63600.0,62688.0,,,,,,,,,,,,
2015-01-01 15:00:00,68634.0,,60400.0,60798.0,,,,,,,,,,,,
2015-01-01 16:00:00,69330.0,,59600.0,61111.0,,,,,,,,,,,,
2015-01-01 17:00:00,73162.0,,62750.0,65620.0,,,,,,,,,,,,
2015-01-01 18:00:00,77066.0,,68300.0,69967.0,,,,,,,,,,,,
2015-01-01 19:00:00,79610.0,,71300.0,71682.0,,,,,,,,,,,,
2015-01-01 20:00:00,78688.0,,71150.0,70462.0,,,,,,,,,,,,
2015-01-01 21:00:00,77333.0,,69400.0,68173.0,,,,,,,,,,,,
2015-01-01 22:00:00,78810.0,,68300.0,69188.0,,,,,,,,,,,,
2015-01-01 23:00:00,76633.0,,70350.0,70135.0,,,,,,,,,,,,
2015-01-02 00:00:00,73029.0,,69000.0,67584.0,,,,,,,,,,,,
2015-01-02 01:00:00,71801.0,,66750.0,65510.0,,,,,,,,,,,,
2015-01-02 02:00:00,70467.0,,66250.0,64522.0,,,,,,,,,,,,
2015-01-02 03:00:00,67547.0,,64150.0,61798.0,,,,,,,,,,,,
