ds,y,da_price,direct_load_forecast,tie_load_forecast,wind_forecast,solar_forecast,market_import_forecast,tie_line_forecast,thermal_forecast,direct_load_actual,tie_load_actual,wind_actual,solar_actual,pumped_storage_actual,thermal_actual,market_import_actual,tie_line_actual,hour_of_day,day_of_week,is_holiday
2024-01-01 00:00:00,294.85999999999996,,55368.41,13364.0,4344.11,0.0,150.0,5136.0,8620.0,57600.502604333335,13254.982910333332,4373.556666666666,-6.473333333333334,305.56666666666666,8815.973225666667,149.61137399999998,5030.699259333333,0,0,0.0
2024-01-01 01:00:00,332.0,304.997,54139.042499999996,13364.0,3656.2574999999997,0.0,150.0,5139.5,8620.0,56421.743164,13257.638305749999,4076.335,-6.4325,-208.9725,8772.526550499999,149.80461125,5029.64759575,1,0,0.0
2024-01-01 02:00:00,326.3,293.25,53101.065,13364.0,2995.1075,0.0,150.0,5140.0,8620.0,55261.69043,13415.8118895,3874.1175000000003,-6.4925,-563.7125,8726.04119875,149.16787325,5039.65398825,2,0,0.0
2024-01-01 03:00:00,325.455,290.86,52586.675,13364.0,2420.3325,0.0,150.0,5138.75,8620.0,54710.12597675,13406.315735,3218.53,-6.49,-561.2775,8731.308655,149.880642,5031.17078375,3,0,0.0
2024-01-01 04:00:00,343.09000000000003,291.965,52789.3575,13364.0,1973.2875,0.0,150.0,5138.75,8620.0,54655.1083985,13313.353943,2692.8075,-6.47,-558.575,8718.6643675,149.3864555,5091.12437975,4,0,0.0
2024-01-01 05:00:00,340.325,303.93,53988.1,14261.0,1694.0725,0.0125,150.0,5143.75,8620.0,55547.1533205,14288.611695,2258.945,-6.505,-212.07999999999998,8726.7183835,149.795105,5089.9042549999995,5,0,0.0
2024-01-01 06:00:00,311.1225,303.225,56233.817500000005,17346.75,1590.0375,2.99,150.0,5138.5,8620.0,57626.938476999996,17458.87231475,1863.38,-6.7325,0.955,8702.757873499999,149.33893575000002,5149.6734235,6,0,0.0
2024-01-01 07:00:00,387.1675,301.608,60428.965,18082.25,1653.17,204.13,150.0,5135.0,8620.0,61610.9384765,18218.57763625,1707.165,103.165,194.5825,8696.864685,149.7380865,5175.09294525,7,0,0.0
2024-01-01 08:00:00,456.185,356.843,64077.135,19101.25,1732.3625,1916.01,150.0,5135.0,8620.0,64954.06250025,19094.3908695,1673.345,1703.45,359.96999999999997,8736.271972499999,149.61454,5154.4064005,8,0,0.0
2024-01-01 09:00:00,318.71500000000003,384.187,61831.25,19513.0,1682.47,4746.1275000000005,150.0,5140.0,8620.0,61188.29980475,19585.018189,1641.39,4915.1,-790.7925,8682.61279325,149.27240749999999,5101.042312,9,0,0.0
2024-01-01 10:00:00,11.254999999999995,345.595,58275.512500000004,17646.5,1531.645,6845.29,150.0,5140.0,8620.0,57348.9726565,17667.2779545,1490.92,6832.755,257.88,8637.01287875,149.58602925,5070.886599,10,0,0.0
2024-01-01 11:00:00,-80.0,333.877,55460.042499999996,14596.75,1473.5225,7866.7225,150.0,5140.0,8620.0,55000.71777375,14610.83251925,1110.585,7870.3425,618.6225000000001,8560.0716555,149.42446925,5049.20632525,11,0,0.0
2024-01-01 12:00:00,-3.5900000000000034,325.168,52359.6725,13174.75,1606.2275,7983.9125,150.0,5140.0,8620.0,52412.609375,13239.28717075,1102.7,8158.0775,-731.9649999999999,8555.429687,149.78560249999998,5079.16455425,12,0,0.0
2024-01-01 13:00:00,275.3575,289.753,54016.625,13658.25,1802.56,7230.005,150.0,5141.25,8620.0,54334.661133,13725.04144325,1270.2424999999998,6717.715,-1487.6725000000001,8519.04364025,149.3579445,5088.52917125,13,0,0.0
2024-01-01 14:00:00,285.4,281.318,57487.9425,16200.75,1999.27,5533.01,150.0,5141.25,8620.0,57412.397461,16469.37902875,1295.3274999999999,5238.5,-1526.83,8561.505859249999,149.6430475,5088.656856,14,0,0.0
2024-01-01 15:00:00,326.28499999999997,285.993,62405.0675,18165.25,2172.0249999999996,3128.24,150.0,5142.5,8620.0,62459.6689455,18425.889038,1280.1925,2857.8925,-478.54,8598.419617,149.928154,5104.264692,15,0,0.0
2024-01-01 16:00:00,400.25,318.515,67173.14,19187.25,2455.5475,853.875,150.0,5156.0,8620.0,66766.7207035,19174.10009775,1150.31,634.31,773.2125000000001,8733.167541499999,149.101349,5102.624185250001,16,0,0.0
2024-01-01 17:00:00,925.2975,341.968,70859.02249999999,19857.75,3040.3,21.355,150.0,5158.0,8620.0,72208.78906275,19778.017944,1382.2024999999999,-4.4725,1873.4924999999998,8785.192749,150.09922025,5094.14633475,17,0,0.0
2024-01-01 18:00:00,705.14,354.54,70671.6675,19850.75,3823.7775,0.66,150.0,5165.0,8620.0,72385.44531275,19833.936768,2153.1175,-7.06,2116.96,8841.976623999999,149.3294335,5125.6397065,18,0,0.0
2024-01-01 19:00:00,512.3874999999999,330.92,69279.85500000001,19849.5,4605.0025000000005,0.0,150.0,5167.75,8620.0,71379.1621095,19823.0767825,2779.6625,-7.1525,1667.125,8835.21429475,149.8426285,5178.4483115,19,0,0.0
